,NOMBRE,PRECIO (€),LINK,PRODUCTO,PALETA,TIENDA
1,MATTE REVOLUTION,32.0,https://www.charlottetilbury.com/es/product/matte-revolution-red-carpet-red,PINTALABIOS,OTOÑO / INVIERNO / VERANO,CHARLOTTE TILBURY
2,MATTE REVOLUTION,32.0,https://www.charlottetilbury.com/es/product/matte-revolution-m-i-kiss,PINTALABIOS,PRIMAVERA / OTOÑO / VERANO,CHARLOTTE TILBURY
3,MATTE REVOLUTION,32.0,https://www.charlottetilbury.com/es/product/matte-revolution-lost-cherry,PINTALABIOS,"VERANO / OTOÑO, INVIERNO",CHARLOTTE TILBURY
4,MATTE REVOLUTION,32.0,https://www.charlottetilbury.com/es/product/matte-revolution-lipstick-scarlet-spell,PINTALABIOS,OTOÑO / INVIERNO,CHARLOTTE TILBURY
5,MATTE REVOLUTION,32.0,https://www.charlottetilbury.com/es/product/matte-revolution-lipstick-pillow-talk-medium,PINTALABIOS,PRIMAVERA / OTOÑO,CHARLOTTE TILBURY
6,MATTE REVOLUTION,32.0,https://www.charlottetilbury.com/es/product/matte-revolution-lipstick-pillowtalk,PINTALABIOS,PRIMAVERA / VERANO,CHARLOTTE TILBURY
7,MATTE REVOLUTION,32.0,https://www.charlottetilbury.com/es/product/matte-revolution-lipstick-the-queen,PINTALABIOS,VERANO / INVIERNO,CHARLOTTE TILBURY
8,MATTE REVOLUTION,32.0,https://www.charlottetilbury.com/es/product/matte-revolution-very-victoria,PINTALABIOS,PRIMAVERA,CHARLOTTE TILBURY
9,THE SUPER NUDES,32.0,https://www.charlottetilbury.com/es/product/matte-revolution-lipstick-super-model,PINTALABIOS,PRIMAVERA / OTOÑO,CHARLOTTE TILBURY
10,THE SUPER NUDES,32.0,https://www.charlottetilbury.com/es/product/matte-revolution-lipstick-catwalking,PINTALABIOS,PRIMAVERA / OTOÑO,CHARLOTTE TILBURY
0,CHEEK TO CHIC,39.0,https://www.charlottetilbury.com/es/product/cheek-to-chic-pillow-talk,COLORETE,VERANO / INVIERNO,CHARLOTTE TILBURY
1,CHEEK TO CHIC,39.0,https://www.charlottetilbury.com/es/product/cheek-to-chic-the-climax,COLORETE,PRIMAVERA / OTOÑO,CHARLOTTE TILBURY
2,CHEEK TO CHIC,39.0,https://www.charlottetilbury.com/es/product/cheek-to-chic-sex-on-fire,COLORETE,VERANO / INVIERNO,CHARLOTTE TILBURY
3,CHEEK TO CHIC,39.0,https://www.charlottetilbury.com/es/product/cheek-to-chic-love-is-the-drug,COLORETE,VERANO / INVIERNO,CHARLOTTE TILBURY
4,CHEEK TO CHIC,39.0,https://www.charlottetilbury.com/es/product/cheek-to-chic-ecstasy,COLORETE,PRIMAVERA / OTOÑO,CHARLOTTE TILBURY
5,CHEEK TO CHIC,39.0,https://www.charlottetilbury.com/es/product/cheek-to-chic-love-glow,COLORETE,VERANO / INVIERNO,CHARLOTTE TILBURY
6,CHEEK TO CHIC,39.0,https://www.charlottetilbury.com/es/product/cheek-to-chic-first-love,COLORETE,VERANO / INVIERNO,CHARLOTTE TILBURY
2,Long-Wear Cream Shadow Stick,38.0,https://www.bobbibrown.es/product/2330/24845/makeup/eyes/sombra-de-ojos/long-wear-cream-shadow-stick#/shade/Shore,SOMBRAS DE OJOS,PRIMAVERA / OTOÑO / INVIERNO,BOBBI BROWN
3,Long-Wear Cream Shadow Stick,38.0,https://www.bobbibrown.es/product/2330/108070/makeup/eyes/sombra-de-ojos/long-wear-cream-shadow-stick/fh22#/shade/Bronze,SOMBRAS DE OJOS,PRIMAVERA / OTOÑO / INVIERNO,BOBBI BROWN
6,Best of Bobbi Brown Ultimate Gift Set,129.0,https://www.bobbibrown.es/product/2330/108068/makeup/eyes/sombra-de-ojos/best-of-bobbi-brown-ultimate-gift-set/fh22,SOMBRAS DE OJOS,PRIMAVERA / OTOÑO / VERANO,BOBBI BROWN
